threshold,accuracy,precision,recall,f1_score,false_acceptance_rate,false_rejection_rate,true_reject_rate,balanced_accuracy,acer,tp,tn,fp,fn,meets_targets
0.3,0.9791666666666666,0.96,1.0,0.9795918367346939,0.041666666666666664,0.0,0.9583333333333334,0.9791666666666667,0.020833333333333332,24,23,1,0,True
0.35,0.9791666666666666,0.96,1.0,0.9795918367346939,0.041666666666666664,0.0,0.9583333333333334,0.9791666666666667,0.020833333333333332,24,23,1,0,True
0.4,0.9791666666666666,0.96,1.0,0.9795918367346939,0.041666666666666664,0.0,0.9583333333333334,0.9791666666666667,0.020833333333333332,24,23,1,0,True
0.45,0.9791666666666666,0.96,1.0,0.9795918367346939,0.041666666666666664,0.0,0.9583333333333334,0.9791666666666667,0.020833333333333332,24,23,1,0,True
0.5,0.9791666666666666,0.96,1.0,0.9795918367346939,0.041666666666666664,0.0,0.9583333333333334,0.9791666666666667,0.020833333333333332,24,23,1,0,True
0.55,0.9791666666666666,0.96,1.0,0.9795918367346939,0.041666666666666664,0.0,0.9583333333333334,0.9791666666666667,0.020833333333333332,24,23,1,0,True
0.6,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.041666666666666664,23,23,1,1,True
0.65,0.9791666666666666,1.0,0.9583333333333334,0.9787234042553191,0.0,0.041666666666666664,1.0,0.9791666666666667,0.020833333333333332,23,24,0,1,True
0.7,0.9583333333333334,1.0,0.9166666666666666,0.9565217391304348,0.0,0.08333333333333333,1.0,0.9583333333333333,0.041666666666666664,22,24,0,2,True
0.75,0.9375,1.0,0.875,0.9333333333333333,0.0,0.125,1.0,0.9375,0.0625,21,24,0,3,False
0.8,0.9166666666666666,1.0,0.8333333333333334,0.9090909090909091,0.0,0.16666666666666666,1.0,0.9166666666666667,0.08333333333333333,20,24,0,4,False
